DateTime,RS_kw_m2_Avg  kW/m2 Average,RS_kw_m2_Min kW/m2 Minimum,RS_kw_m2_Max kW/m2 Maximum,RS_kw_m2_Std kW/m2 Standard deviation,PAR_Avg mmol/m2 s Average,WS_mph_WVc(1) mph Average,WS_mph_Min mph Minimum,WS_mph_Max mph Maximum,WS_mph_Std mph Standard deviation,WS_mph_WVc(3) degN Resultant average,WS_mph_WVc(4) degN Standard deviation,AT_C_Avg degC Average,AT_C_Min degC Minimum,AT_C_Max degC Maximum,RH_pct_Avg % Average,RH_pct_Min % Minimum,RH_pct_Max % Maximum,BP_mb_Avg mbar Average,Pcpn_in_Tot in Total,TC_C_2_Avg degC Average,TC_C_2_Min degC Minimum,TC_C_2_Max degC Maximum,TC_C_10_Avg degC Average,TC_C_10_Min degC Minimum,TC_C_10_Max degC Maximum,Soil_T1_C_Avg degC Average,Soil_T1_C_Min degC Minimum,Soil_T1_C_Max degC Maximum,Soil_T2_C_Avg degC Average,Soil_T2_C_Min degC Minimum,Soil_T2_C_Max degC Maximum,Soil_T4_C_Avg degC Average,Soil_T4_C_Min degC Minimum,Soil_T4_C_Max degC Maximum,Soil_T8_C_Avg degC Average,Soil_T8_C_Min degC Minimum,Soil_T8_C_Max degC Maximum,Soil_T20_C_Avg degC Average,Soil_T20_C_Min degC Minimum,Soil_T20_C_Max degC Maximum,RsIn_Avg W/m2 Average,RlIn_Avg W/m2 Average,RsOut_Avg W/m2 Average,RlOut_Avg W/m2 Average,CNRT_C_Avg degC Average,VWC4_Avg - Average,Soil_TDT4_C_Avg degC Average,EC_4_Avg dS/m Average,SBP4_Avg - Average,VWC8_Avg - Average,Soil_TDT8_C_Avg degC Average,EC_8_Avg dS/m Average,SBP8_Avg - Average,VWCVU_Avg - Average,Soil_TVU_C_Avg degC Average,EC_VU_Avg dS/m Average,SBPVU_Avg - Average,VWCVL_Avg - Average,Soil_TVL_C_Avg degC Average,EC_VL_Avg dS/m Average,SBPVL_Avg - Average,batt_volt_Avg V Average,batt_volt_Min V Minimum,batt_volt_Max V Maximum,PTemp_Avg degC Average,WS_mph_WVc(2) mph Resultant average,Enc_RH_pct_Max % Maximum,CameraTC_Avg degC Average
9/1/2018 0:00,0,0,0,0,,12.38,8.84,15.64,1.21,340.7,8.12,10.86,10.74,10.97,35.26,34.84,35.49,747.368,0,11.25,10.84,11.69,12.08,11.74,12.28,12.36,12.23,12.47,13.2,13.08,13.33,15.47,15.36,15.64,17.51,17.37,17.79,16.48,16.4,16.59,,,,,,,,,,,,,,0.041,0.005,3.448,14.82,0.022,0.006,2.691,17.25,12.11,12.1,12.11,9.56,12.26,53.53,13.13
9/1/2018 0:10,0,0,0,0,,10.55,6.941,16.29,1.517,343.5,11.06,10.9,10.73,11,34.78,34.57,35.16,747.385,0,11.22,10.73,11.77,12.06,11.69,12.43,12.27,12.17,12.43,13.11,13,13.22,15.39,15.26,15.58,17.5,17.35,17.71,16.48,16.41,16.56,,,,,,,,,,,,,,0.041,0.005,3.447,14.81,0.022,0.006,2.691,17.23,12.1,12.09,12.11,9.57,10.35,53.59,13.14
9/1/2018 0:20,0,0,0,0,,10.11,6.43,13.74,1.452,344.9,8.9,10.67,10.56,10.78,35.34,34.97,35.66,747.362,0,11.02,10.69,11.46,12.04,11.71,12.33,12.22,12.06,12.33,13.05,12.94,13.15,15.34,15.23,15.46,17.51,17.37,17.73,16.51,16.4,16.67,,,,,,,,,,,,,,0.041,0.005,3.447,14.78,0.022,0.006,2.691,17.23,12.1,12.09,12.1,9.58,9.99,53.6,13.06
9/1/2018 0:30,0,0,0,0,,9.97,7.745,12.49,0.982,342.6,12.08,10.75,10.58,10.91,35.37,35.09,35.61,747.364,0,11.2,10.69,11.64,12.04,11.66,12.29,12.14,12,12.24,12.98,12.85,13.09,15.28,15.17,15.45,17.5,17.34,17.74,16.53,16.42,16.64,,,,,,,,,,,,,,0.041,0.005,3.447,14.72,0.022,0.006,2.691,17.22,12.09,12.07,12.1,9.54,9.75,53.9,12.99
9/1/2018 0:40,0,0,0,0,,11.03,7.891,14.83,1.484,353.3,10.47,10.87,10.7,11.07,35.17,34.69,35.72,747.311,0,11.3,10.67,11.88,12.11,11.69,12.39,12.02,11.9,12.14,12.87,12.74,12.98,15.17,15.01,15.36,17.46,17.28,17.67,16.5,16.37,16.66,,,,,,,,,,,,,,0.041,0.005,3.447,14.68,0.022,0.006,2.691,17.22,12.08,12.07,12.09,9.51,10.85,53.99,13.06
9/1/2018 0:50,0,0,0,0,,9.54,6.138,14.91,1.869,359.5,10.43,10.7,10.59,10.85,35.21,34.97,35.46,747.331,0,11,10.67,11.36,12.06,11.73,12.3,11.94,11.85,12.04,12.77,12.68,12.88,15.11,15.01,15.24,17.44,17.32,17.69,16.5,16.39,16.61,,,,,,,,,,,,,,0.041,0.005,3.447,14.64,0.022,0.006,2.69,17.21,12.08,12.06,12.08,9.51,9.38,53.76,13.03
9/1/2018 1:00,0,0,0,0,,8.03,6.138,10.16,0.906,0.075,6.673,10.66,10.59,10.74,35.29,35.05,35.45,747.271,0,11.09,10.77,11.46,12.03,11.85,12.19,11.9,11.8,12.01,12.74,12.61,12.87,15.08,14.97,15.23,17.48,17.33,17.8,16.56,16.42,16.64,,,,,,,,,,,,,,0.041,0.005,3.447,14.57,0.022,0.006,2.69,17.21,12.07,12.06,12.08,9.48,7.977,54.05,12.91
9/1/2018 1:10,0,0,0,0,,10.14,7.672,12.42,1.044,1.379,5.677,10.53,10.45,10.66,35.64,35.29,35.99,747.132,0,10.95,10.74,11.28,12.01,11.82,12.17,11.82,11.7,11.96,12.66,12.55,12.8,15.02,14.9,15.19,17.47,17.31,17.69,16.56,16.45,16.66,,,,,,,,,,,,,,0.041,0.005,3.447,14.54,0.022,0.006,2.691,17.19,12.06,12.05,12.07,9.42,10.09,54.31,12.85
9/1/2018 1:20,0,0,0,0,,9.51,7.745,11.4,0.88,359.7,8.67,10.45,10.27,10.56,35.85,35.65,36.13,747.073,0,10.86,10.53,11.31,11.94,11.79,12.11,11.73,11.6,11.86,12.59,12.47,12.7,14.94,14.82,15.06,17.42,17.27,17.64,16.56,16.44,16.66,,,,,,,,,,,,,,0.041,0.005,3.447,14.51,0.022,0.006,2.691,17.19,12.06,12.05,12.07,9.36,9.4,54.31,12.87
9/1/2018 1:30,0,0,0,0,,8.74,5.991,11.18,1.003,354.1,9.95,10.34,10.17,10.47,36.01,35.57,36.55,747.035,0,10.77,10.4,11.34,11.89,11.63,12.16,11.66,11.55,11.78,12.51,12.42,12.62,14.89,14.75,15.08,17.42,17.3,17.77,16.59,16.46,16.68,,,,,,,,,,,,,,0.041,0.005,3.447,14.46,0.022,0.006,2.69,17.17,12.05,12.04,12.06,9.3,8.61,54.37,12.78
