TIMESTAMP,WP1(10cm),WP2(30cm),TempMPS1(10cm),TempMPS2(30cm),VWC1(10cm),VWC2(30cm),VWC3(60cm),VWC4(115cm),EC1(10cm),EC2(30cm),EC3(60cm),EC4(115cm),Temp5TE1(10cm),Temp5TE2(30cm),Temp5TE3(60cm),Temp5TE4(115cm)
MST,kPa,kPa,degC,degC,m3/m3,m3/m3,m3/m3,m3/m3,dS/m,dS/m,dS/m,dS/m,degC,degC,degC,degC
1/1/2017 0:00,-7.9,-7.9,2.1,4.1,0.223,0.206,0.199,0.301,0.04,0.02,0.05,0.02,2.9,4.3,5,6.3
1/1/2017 0:15,-7.9,-7.9,2,4.1,0.223,0.205,0.199,0.301,0.05,0.02,0.05,0.03,2.8,4.3,5,6.3
1/1/2017 0:30,-7.9,-7.9,2,4,0.223,0.205,0.199,0.301,0.04,0.02,0.05,0.03,2.8,4.3,5,6.3
1/1/2017 0:45,-7.9,-7.9,2,4,0.223,0.205,0.199,0.301,0.04,0.02,0.05,0.03,2.9,4.3,5,6.3
1/1/2017 1:00,-7.9,-7.9,2,4,0.223,0.205,0.199,0.301,0.04,0.02,0.05,0.03,2.8,4.2,5,6.3
1/1/2017 1:15,-7.9,-7.9,2,4,0.223,0.205,0.199,0.301,0.04,0.02,0.05,0.03,2.8,4.2,5,6.3
1/1/2017 1:30,-7.9,-7.9,2,4,0.222,0.204,0.199,0.301,0.05,0.02,0.05,0.02,2.8,4.2,5,6.3
1/1/2017 1:45,-7.9,-7.9,2,4,0.222,0.204,0.199,0.3,0.05,0.02,0.06,0.03,2.8,4.2,5,6.3
1/1/2017 2:00,-7.9,-7.9,2,4,0.222,0.204,0.199,0.301,0.04,0.02,0.05,0.03,2.8,4.2,5,6.3
1/1/2017 2:15,-7.9,-7.9,2,4,0.222,0.204,0.199,0.301,0.05,0.02,0.05,0.02,2.8,4.2,5,6.3
1/1/2017 2:30,-7.9,-7.9,2,4,0.222,0.204,0.198,0.301,0.04,0.02,0.05,0.02,2.8,4.2,5,6.3
1/1/2017 2:45,-7.9,-7.9,2,4,0.222,0.204,0.198,0.301,0.04,0.02,0.05,0.03,2.8,4.2,5,6.3
1/1/2017 3:00,-7.9,-7.9,2,4,0.222,0.204,0.198,0.301,0.05,0.02,0.05,0.02,2.7,4.2,5,6.3
1/1/2017 3:15,-7.9,-7.9,2,4,0.222,0.203,0.198,0.301,0.05,0.02,0.05,0.03,2.7,4.2,5,6.3
1/1/2017 3:30,-7.9,-7.9,2,4,0.222,0.203,0.198,0.301,0.04,0.02,0.05,0.03,2.8,4.2,5,6.3
1/1/2017 3:45,-7.9,-7.9,2,4,0.222,0.203,0.198,0.301,0.05,0.02,0.05,0.03,2.7,4.2,5,6.3
1/1/2017 4:00,-7.9,-7.9,2,4,0.222,0.203,0.198,0.301,0.05,0.01,0.05,0.03,2.7,4.2,5,6.3
1/1/2017 4:15,-7.9,-7.9,2,4,0.222,0.203,0.198,0.301,0.05,0.02,0.05,0.02,2.8,4.2,5,6.3
1/1/2017 4:30,-7.9,-7.9,2,4,0.222,0.203,0.198,0.3,0.05,0.02,0.06,0.02,2.7,4.2,5,6.3
1/1/2017 4:45,-7.9,-7.9,2,4,0.222,0.203,0.197,0.301,0.04,0.02,0.05,0.03,2.7,4.2,5,6.3
1/1/2017 5:00,-7.9,-7.9,2,4,0.222,0.203,0.197,0.3,0.05,0.02,0.05,0.03,2.7,4.2,5,6.3
